Time;Location
10/07/03 18:09;46.6666885,24.8351603
10/07/03 18:09;46.6666923,24.8351473
10/07/03 18:09;46.6666937,24.8351425
10/07/03 18:09;46.6666955,24.835137
10/07/03 18:09;46.6666963,24.8351343
10/07/03 18:09;46.6666988,24.8351265
10/07/03 18:09;46.6666997,24.8351253
10/07/03 18:09;46.666699,24.835129
10/07/03 18:09;46.6666998,24.8351287
10/07/03 18:09;46.6666982,24.8351342
10/07/03 18:09;46.6666985,24.8351352
10/07/03 18:09;46.6666983,24.8351365
10/07/03 18:09;46.6666997,24.8351353
10/07/03 18:09;46.6666987,24.8351402
10/07/03 18:09;46.6666992,24.8351408
10/07/03 18:09;46.6666983,24.835145
10/07/03 18:09;46.6666973,24.8351493
10/07/03 18:09;46.6666965,24.835154
10/07/03 18:09;46.6666962,24.8351557
10/07/03 18:09;46.6666962,24.8351563
10/07/03 18:09;46.666695,24.8351595
10/07/03 18:09;46.6666943,24.8351608
10/07/03 18:09;46.6666942,24.8351613
10/07/03 18:09;46.666693,24.8351637
10/07/03 18:09;46.6666933,24.8351617
10/07/03 18:09;46.6666925,24.8351613
10/07/03 18:09;46.6666912,24.8351648
10/07/03 18:09;46.6666912,24.8351647
10/07/03 18:09;46.6666902,24.8351653
10/07/03 18:09;46.6666897,24.8351655
10/07/03 18:09;46.666688,24.835169
10/07/03 18:09;46.666688,24.835168799999998
10/07/03 18:09;46.6666883,24.8351685
10/07/03 18:09;46.6666873,24.8351695
10/07/03 18:09;46.6666867,24.835171
10/07/03 18:09;46.6666868,24.8351705
10/07/03 18:09;46.6666888,24.835165
10/07/03 18:09;46.6666893,24.8351632
10/07/03 18:09;46.6666905,24.8351605
10/07/03 18:09;46.6666908,24.8351598
10/07/03 18:09;46.6666923,24.835156
10/07/03 18:09;46.6666932,24.8351533
10/07/03 18:08;46.6666932,24.835153
10/07/03 18:08;46.6666933,24.8351545
10/07/03 18:08;46.6666935,24.8351542
10/07/03 18:08;46.666694,24.835154
10/07/03 18:08;46.6666955,24.8351535
10/07/03 18:08;46.6666963,24.8351515
10/07/03 18:08;46.6666953,24.8351548
10/07/03 18:08;46.666696,24.8351542
10/07/03 18:08;46.6666975,24.8351535
10/07/03 18:08;46.6666978,24.8351535
10/07/03 18:08;46.6666982,24.8351537
10/07/03 18:08;46.6666985,24.8351537
10/07/03 18:08;46.666698,24.835156
10/07/03 18:08;46.6666985,24.8351558
10/07/03 18:08;46.6667005,24.835152
10/07/03 18:08;46.6667038,24.8351463
10/07/03 18:08;46.6667037,24.8351477
10/07/03 18:08;46.6667035,24.835148
10/07/03 18:08;46.6667032,24.835149
10/07/03 18:08;46.6667033,24.8351483
10/07/03 18:08;46.6667042,24.8351465
10/07/03 18:08;46.6667043,24.8351463
10/07/03 18:08;46.6667045,24.8351458
10/07/03 18:08;46.6667057,24.835144
10/07/03 18:08;46.6667063,24.835143
10/07/03 18:08;46.6667058,24.8351455
10/07/03 18:08;46.6667053,24.8351472
10/07/03 18:08;46.6667055,24.8351472
10/07/03 18:08;46.6667058,24.8351475
10/07/03 18:08;46.6667055,24.8351485
10/07/03 18:08;46.6667063,24.8351485
10/07/03 18:08;46.6667067,24.8351487
10/07/03 18:08;46.6667075,24.835149
10/07/03 18:08;46.6667077,24.8351498
10/07/03 18:08;46.6667073,24.8351522
10/07/03 18:08;46.6667068,24.8351545
10/07/03 18:08;46.6667058,24.835158
10/07/03 18:08;46.6667057,24.8351605
10/07/03 18:08;46.6667048,24.8351645
10/07/03 18:08;46.6667043,24.8351665
10/07/03 18:08;46.6667042,24.8351687
10/07/03 18:08;46.6667045,24.8351693
10/07/03 18:08;46.666705,24.835169
10/07/03 18:08;46.6667042,24.8351722
10/07/03 18:08;46.6667042,24.8351728
10/07/03 18:08;46.6667048,24.8351722
10/07/03 18:08;46.6667035,24.8351772
10/07/03 18:08;46.6667018,24.8351825
10/07/03 18:07;46.6666997,24.8351885
10/07/03 18:07;46.6667003,24.8351878
10/07/03 18:07;46.6667012,24.8351852
10/07/03 18:07;46.666702,24.8351843
10/07/03 18:07;46.6667022,24.8351843
10/07/03 18:07;46.6667013,24.8351858
10/07/03 18:07;46.6667022,24.835183999999998
10/07/03 18:07;46.666699,24.835191299999998
10/07/03 18:07;46.6666977,24.8351928
10/07/03 18:07;46.6666947,24.8352
10/07/03 18:07;46.6666953,24.8351973
10/07/03 18:07;46.666696,24.8351945
10/07/03 18:07;46.6666965,24.835192
10/07/03 18:07;46.6666972,24.835189
10/07/03 18:07;46.6666977,24.8351878
10/07/03 18:07;46.6666988,24.8351828
10/07/03 18:07;46.6666995,24.8351807
10/07/03 18:07;46.666701,24.8351765
10/07/03 18:07;46.6667022,24.8351725
10/07/03 18:07;46.6667023,24.8351713
10/07/03 18:07;46.6667025,24.8351695
10/07/03 18:07;46.6667032,24.8351672
10/07/03 18:07;46.666703,24.8351668
10/07/03 18:07;46.6667038,24.835165
10/07/03 18:07;46.6667048,24.8351615
10/07/03 18:07;46.6667052,24.8351595
10/07/03 18:07;46.6667063,24.8351567
10/07/03 18:07;46.6667073,24.8351522
10/07/03 18:07;46.666708,24.8351495
10/07/03 18:07;46.6667083,24.8351475
10/07/03 18:07;46.6667098,24.8351438
10/07/03 18:07;46.6667103,24.8351402
10/07/03 18:07;46.6667105,24.8351395
10/07/03 18:07;46.6667108,24.8351387
10/07/03 18:07;46.6667102,24.8351388
10/07/03 18:07;46.6667095,24.8351393
10/07/03 18:07;46.666709,24.8351405
10/07/03 18:07;46.6667092,24.8351398
10/07/03 18:07;46.6667095,24.8351402
10/07/03 18:07;46.6667103,24.835138
10/07/03 18:07;46.6667107,24.8351385
10/07/03 18:07;46.666711,24.8351393
10/07/03 18:07;46.6667115,24.835138
10/07/03 18:07;46.6667118,24.8351377
10/07/03 18:07;46.6667125,24.8351348
10/07/03 18:07;46.666712,24.8351358
10/07/03 18:07;46.666711,24.8351388
10/07/03 18:07;46.6667108,24.8351395
10/07/03 18:07;46.6667103,24.8351418
10/07/03 18:06;46.666709,24.8351442
